CountryName,CountryCode,Year,"Charges for the use of intellectual property, payments (BoP, current US$)","Charges for the use of intellectual property, receipts (BoP, current US$)",High-technology exports (% of manufactured exports),Hightechexports,Patentnonresidents,Patentresidents,Rdexpenditure,Researchers in R&D (per million people),Scientific and technical journal articles,Technicians in R&D (per million people),"Trademark applications, direct nonresident","Trademark applications, direct resident","Trademark applications, total"
IBRD only,IBD,1985,928797832.5,74243358.96,0,0,31012,22671,0,0,0,0,58409,164073,229802
St. Kitts and Nevis,KNA,1998,303703.7037,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,KWT,2011,0,0,2.695343466,127763867,0,0,0.09898,126.88393,800.2,29.3284,0,0,0
Latin America & Caribbean,LCN,2000,3366669887,247339513.9,15.7940916,40792761300,42448,5239,0.555702831,328.7000859,0,0,164793,248525,421661
Liechtenstein,LIE,1994,0,0,0,0,0,0,0,0,0,0,4403,162,4565
Sri Lanka,LKA,2012,0,0,0.915135142,57823960,0,0,0,0,617.7,0,3178,5938,9116
Lower middle income,LMC,1979,68595848.9,1302149.454,0,0,6094,1471,0,0,0,0,14067,25877,39944
Low & middle income,LMY,2004,15787525793,1599737095,19.72028598,3.26E+11,143967,114550,0.814783677,0,274013.7118,0,352934,1015630,1380230
Low & middle income,LMY,2006,21232594378,2814969730,18.823674,4.66E+11,192115,187292,0.893897652,0,382540.1438,0,424315,1260995,1697061
Madagascar,MDG,2016,8039022.438,3121201.499,0.64780599,4312296,30,6,0,0,102.8,0,1279,860,2139
Middle East & North Africa,MEA,1964,0,0,0,0,3644,804,0,0,0,0,6307,2858,9165
Middle East & North Africa,MEA,1990,137684894,68470543.19,0,0,4674,1634,0,0,0,0,14842,0,22851
Mongolia,MNG,2009,790260,194743.54,0,0,67,76,0.30481,0,102.1,0,1463,328,1791
Mauritius,MUS,2010,12068022.45,554905.8734,0.691355554,6195501,0,0,0,0,87.8,0,0,0,2032
Malawi,MWI,2002,234434.6737,0,0.16005167,71358,0,0,0,0,0,0,440,138,578
Malaysia,MYS,2010,1318006092,100651423.3,44.52124317,59331817835,5152,1231,1.03663,1458.16339,11056.8,129.9204,13271,13099,26370
North America,NAC,2017,59280619386,1.32E+11,0,0,0,0,0,0,0,0,0,0,0
New Zealand,NZL,1988,0,0,3.911692977,71356655,3622,803,0,0,0,0,6928,5397,12325
Oman,OMN,2004,0,0,0.678341541,3760365,0,0,0,0,300.5,0,0,0,0
Other small states,OSS,2006,412265550.5,407660642,12.49350417,3264899121,0,0,0,0,2515.006477,0,0,0,26398
Other small states,OSS,1993,33923000.44,1846253.343,0,0,0,0,0,0,0,0,0,0,0
Pakistan,PAK,1995,21204378.3,5818331.207,0.041146951,2773677,678,21,0,0,0,0,2465,2960,5425
Panama,PAN,2015,57000000,5900000,0,0,389,14,0,0,161.5,0,5317,3788,9105
Papua New Guinea,PNG,1995,0,0,0,0,0,0,0,0,0,0,602,108,710
"Korea, Dem. People’s Rep.",PRK,2016,0,0,0,0,0,0,0,0,43.8,0,985,0,985
Paraguay,PRY,2009,1700000,0,10.95991196,37223284,246,15,0,0,35.1,0,7531,10904,18435
Sweden,SWE,1999,1088775810,1452925368,21.53758834,13879680276,853,4142,3.41829,4503.90355,0,0,7652,7494,15146
Sweden,SWE,2014,3845419141,9142241347,13.88158402,16562389622,441,1984,3.14335,6868.11332,21130.1,0,1913,7946,9859
Chad,TCD,1983,0,0,0,0,0,0,0,0,0,0,0,0,0
Latin America & the Caribbean (IDA & IBRD countries),TLA,1976,330943310.6,163000000,0,0,0,0,0,0,0,0,0,0,0
Tonga,TON,2003,0,0,0,0,0,0,0,0,1.6,0,0,0,0
South Asia (IDA & IBRD),TSA,2001,341537031,43022437.78,5.218423262,0,9853,2616,0.649127586,0,0,0,17090,92303,109393
South Asia (IDA & IBRD),TSA,2009,1961696656,203726855.4,7.85547261,11041591781,27500,7519,0.795301614,0,61743.5,0,15108,157299,172407
Trinidad and Tobago,TTO,2013,60809869.37,458179.6158,0.160730171,9204590,174,0,0.05856,0,167,0,1131,311,1442
Turkey,TUR,1995,0,0,1.205811734,193654203,1520,170,0,0,0,0,3379,12815,16194
Uganda,UGA,1971,0,0,0,0,83,0,0,0,0,0,540,35,575
Uruguay,URY,2012,86928457.55,47812689.17,9.30095013,193244229,678,22,0.32798,537.27781,596.2,0,3665,2178,5843
Uruguay,URY,1992,0,0,0,0,140,39,0,0,0,0,5985,4200,10185
World,WLD,1999,68481524752,82257784050,23.06014827,0,426853,745200,2.059242696,0,0,0,685568,1334843,2068081
"Yemen, Rep.",YEM,2005,9200000,0,0.239194561,208198,23,20,0,0,45.3,0,1278,1312,2590
Late-demographic dividend,LTE,2003,9053444091,663788186.5,23.4952402,2.19E+11,93434,94829,0.957199255,869.6464779,176201.5577,0,198134,626268,836097
Late-demographic dividend,LTE,1989,334440405.2,43891297.41,0,0,19158,19537,0,0,0,0,62742,144492,207234
Tonga,TON,1990,12279.07541,0,0,0,0,0,0,0,0,0,47,0,47
Albania,ALB,2000,0,0,0.697374879,1489031,0,0,0,0,0,0,2502,32,2534
Albania,ALB,1988,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,1995,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,AZE,2016,0,0,2.083501084,9132464,19,144,0,0,480.3,0,3662,1030,4692
"Bahamas, The",BHS,1970,0,0,0,0,60,0,0,0,0,0,388,12,400
Belize,BLZ,2010,1382149.283,0,0,0,0,0,0,0,11,0,0,0,0
Botswana,BWA,2016,6090083.129,589497.1892,0.397624563,27168930,6,1,0,0,226.6,0,1411,537,1948
Costa Rica,CRI,1988,7600000,0,0,0,38,10,0,0,0,0,1005,485,1490
Cuba,CUB,1999,0,0,23.00186427,34725143,127,110,0.45831,0,0,0,3324,740,4064
Dominica,DMA,1989,100000,0,0,0,0,0,0,0,0,0,10,52,62
Dominican Republic,DOM,2000,29700000,0,0,0,0,0,0,0,0,0,0,0,8343
Early-demographic dividend,EAR,2016,16254850961,2292225249,9.61885009,0,84547,44001,0,0,288419.0021,0,256102,765316,1031020
"Egypt, Arab Rep.",EGY,1968,0,0,0,0,571,86,0,0,0,0,391,397,788
Euro area,EMU,1978,2572742777,1149307383,0,0,99919,52279,0,0,0,0,35653,92961,142137
Finland,FIN,1993,325487457.2,89132136.44,11.14917958,2159415757,2052,2166,0,0,0,0,4208,1737,5945
Greenland,GRL,1994,0,0,0,413875,0,0,0,0,0,0,0,0,0
Guatemala,GTM,1969,0,0,0,0,194,23,0,0,0,0,1231,506,1737
Guyana,GUY,1996,10000000,14000000,0,0,0,0,0,0,0,0,0,0,0
High income,HIC,2000,68483456127,91361991690,25.49441155,9.70E+11,340853,754477,2.299209441,3018.808016,0,0,522561,1002915,1568673
Honduras,HND,1983,2250000,0,0,0,24,16,0,0,0,0,387,468,855
Haiti,HTI,1987,0,0,0,0,9,9,0,0,0,0,638,2,640
IDA blend,IDB,1971,0,0,0,0,1736,170,0,0,0,0,0,0,5082
Ireland,IRL,1968,0,0,0,0,1427,168,0,0,0,0,1793,370,2163
Iraq,IRQ,1994,0,0,0,0,25,112,0,0,0,0,0,0,0
Iceland,ISL,1972,0,0,0,0,64,17,0,0,0,0,361,57,418
Israel,ISR,1973,4000000,0,0,0,2349,374,0,0,0,0,3398,462,3860
Kenya,KEN,1997,67870509.2,22420376.45,4.430175279,21893860,40,22,0,0,0,0,1207,467,1674
"Korea, Rep.",KOR,2014,10546000000,5167100000,26.88054979,1.33E+11,46219,164073,4.27746,6899.00269,62691.2,1241.25479,22263,138046,160309
Latin America & Caribbean (excluding high income),LAC,1994,1053456088,160685500,7.831242531,7982446683,17105,3334,0,0,0,0,65361,112689,184244
Latin America & Caribbean,LCN,1974,8868480,2405280,0,0,18227,6446,0,0,0,0,24926,54629,90051
Low income,LIC,2006,82510943.74,208079518.6,3.58359162,0,0,0,0,0,2408.463652,0,0,0,0
Liechtenstein,LIE,2005,0,0,0,0,0,0,0,0,33.6,0,3539,202,3741
Sri Lanka,LKA,2014,0,0,0.907765065,67647675,0,0,0,0,704.8,0,0,0,0
Monaco,MCO,1983,0,0,0,0,46,19,0,0,0,0,167,83,250
Maldives,MDV,1999,0,2047578.59,0,0,0,0,0,0,0,0,0,0,0
Mongolia,MNG,2003,0,0,0.205542712,370436,86,167,0.25167,0,34.2,0,2469,358,2827
Mauritius,MUS,1994,0,0,0.918000166,8699983,12,5,0,0,0,0,437,395,832
Nicaragua,NIC,2001,0,0,3.475294839,2033713,0,0,0,0,0,0,3950,668,4618
Nepal,NPL,1992,0,0,0,0,2,1,0,0,0,0,0,0,0
Pre-demographic dividend,PRE,1998,71030550.03,33556981.62,3.003462931,0,0,0,0,0,0,0,0,0,0
"Korea, Dem. People’s Rep.",PRK,2001,0,0,0,0,0,0,0,0,0,0,2190,0,2190
South Asia,SAS,2011,3007490650,311054597.8,6.061198847,13299079873,34830,9172,0.778238234,0,84346.8,0,34694,205965,240659
South Asia,SAS,2017,6768318609,669736766.4,0,0,0,0,0,0,0,0,0,0,0
Singapore,SGP,1977,0,0,0,0,529,4,0,0,0,0,2221,1775,3996
Sub-Saharan Africa,SSF,1990,168193744.7,32361157.63,0,0,0,0,0,0,0,0,0,0,0
Small states,SST,2003,235609093,78794704.64,7.860251209,0,0,0,0,0,2076.129066,0,0,0,0
Middle East & North Africa (IDA & IBRD countries),TMN,1997,491429384,58892853.22,0.956282307,0,0,0,0,0,0,0,11827,0,23031
South Asia (IDA & IBRD),TSA,1993,81484623.35,2639203.498,2.861501592,0,3279,1319,0,0,0,0,6593,32251,38844
Sub-Saharan Africa (IDA & IBRD countries),TSS,1983,235392077.7,27044886.71,0,0,0,0,0,0,0,0,0,0,0
Turkey,TUR,1970,0,0,0,0,547,89,0,0,0,0,1086,897,1983
Upper middle income,UMC,1967,32199987.13,4199998.322,0,0,0,0,0,0,0,0,0,0,0
Zambia,ZMB,2005,400000,0,1.090505634,1729251,22,5,0.02493,0,60.8,0,1525,240,1765
Late-demographic dividend,LTE,1968,8000000,8000000,0,0,0,0,0,0,0,0,0,0,0
Mozambique,MOZ,2013,24529769.8,0,13.35482884,80780608,30,13,0,0,67.9,0,2048,1112,3160
Nicaragua,NIC,1979,1800000,0,0,0,0,0,0,0,0,0,0,0,0
Eswatini,SWZ,1998,39254313.54,235154.3374,0,0,0,0,0,0,0,0,18,0,18
Andorra,AND,1995,0,0,9.164747598,3914459,0,0,0,0,0,0,0,0,0
United Arab Emirates,ARE,1999,0,0,1.120983295,6367751,0,0,0,0,0,0,0,0,4764
Bahrain,BHR,1974,0,0,0,0,35,0,0,0,0,0,136,6,142
"Congo, Dem. Rep.",COD,1974,0,0,0,0,122,1,0,0,0,0,353,13,366
European Union,EUU,2015,1.95E+11,1.24E+11,17.15578434,6.39E+11,31905,99418,2.047386989,3485.415082,635063.2,0,67202,355059,464955
France,FRA,1988,1720570808,1081605900,15.92642242,19574356251,5194,12437,0,0,0,0,22929,65583,88512
United Kingdom,GBR,1962,0,0,0,0,0,0,0,0,0,0,0,0,14210
Greece,GRC,1986,10000000,0,0,0,1714,1249,0,0,0,0,0,0,0
Croatia,HRV,2016,268810881.5,52486415.77,11.61766822,1055741297,13,175,0,0,4056,0,1603,1347,2950
IDA total,IDA,1999,140711212.4,43824841.27,0,0,0,0,0,0,0,0,0,0,0
IDA only,IDX,1985,3329038.559,4785202.356,0,0,0,0,0,0,0,0,0,0,0
"Iran, Islamic Rep.",IRN,1966,0,0,0,0,492,87,0,0,0,0,837,1685,2522
Israel,ISR,2010,831500000,849400000,14.66321363,7978955000,5856,1450,3.93949,0,11014.4,0,6209,2569,8778
Kenya,KEN,1992,3352284.779,6952886.948,1.577908589,7575511,0,0,0,0,0,0,0,0,0
Kyrgyz Republic,KGZ,2008,0,0,3.045207635,11198933,3,135,0.19016,0,51.4,0,3204,239,3443
"Korea, Rep.",KOR,1986,478000000,15600000,0,0,9115,3640,0,0,0,0,7585,20446,28031
Latin America & Caribbean (excluding high income),LAC,1969,7000000,8000000,0,0,0,0,0,0,0,0,0,0,0
Libya,LBY,1978,0,0,0,0,0,0,0,0,0,0,505,2,507
Low income,LIC,1997,18196544.64,4282839.597,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,LKA,1999,0,0,3.239078507,109039078,248,119,0,0,0,0,1906,3114,5020
"Macao SAR, China",MAC,2005,5356341.789,0,0.717749018,12397535,119,3,0.08809,635.48144,0,235.39514,4091,560,4651
Monaco,MCO,1966,0,0,0,0,44,20,0,0,0,0,306,61,367
Malta,MLT,2002,13226093.3,1150645.137,58.98250032,1028418780,180,22,0.2385,695.38896,0,115.04597,1817,416,2233
Myanmar,MMR,2012,0,0,1.010814738,15424968,0,0,0,0,42.9,0,4068,4422,8490
Myanmar,MMR,1984,269890.1825,733157.6339,0,0,0,0,0,0,0,0,0,0,0
Myanmar,MMR,1987,0,437265.5258,0,0,0,0,0,0,0,0,0,0,0
Malawi,MWI,1986,0,0,0,0,39,0,0,0,0,0,215,143,358
Malaysia,MYS,1988,0,0,40.58434155,3732510571,1547,73,0,0,0,0,3612,3662,7274
North America,NAC,1992,6874792405,21286988128,29.08685862,1.16E+11,113872,95232,0,0,0,0,29068,122644,151712
Namibia,NAM,1998,2532431.326,5969302.41,0,0,0,0,0,0,0,0,0,0,0
Oman,OMN,2005,0,0,0.275351028,2228193,0,0,0,0,317.3,0,0,0,0
Pakistan,PAK,1967,0,0,0,0,1209,68,0,0,0,0,988,1269,2257
Panama,PAN,2006,42600000,0,1.34300539,1220256,0,0,0.23537,105.36909,83.1,102.70526,6089,3973,10062
Poland,POL,1999,491000000,25000000,2.649377481,557414000,4671,2285,0.6821,1465.20769,0,398.85387,11740,12467,24207
Poland,POL,2006,1313000000,39000000,3.740763356,3225078654,655,2157,0.55073,1548.19686,21267.4,225.10079,6460,14044,20504
Pre-demographic dividend,PRE,1975,139982.2407,46660.7469,0,0,0,0,0,0,0,0,0,0,0
Post-demographic dividend,PST,1988,15458842452,18561139050,14.95429725,0,204262,481422,0,0,0,0,233818,487398,751267
Post-demographic dividend,PST,1985,7117931761,9582743358,0,0,192280,431624,0,0,0,0,165254,389733,573937
South Asia,SAS,2015,5214137795,482764971.6,6.424105004,0,34389,13058,0.583861495,225.7744112,118526.9,92.41364605,38128,291898,330026
El Salvador,SLV,1993,3447281.962,229818.7975,0,0,75,10,0,0,0,0,2308,1834,4142
Small states,SST,1982,25946185.61,1181489.457,0,0,0,0,0,0,0,0,0,0,0
Chad,TCD,1984,0,0,0,0,0,0,0,0,0,0,0,0,0
Middle East & North Africa (IDA & IBRD countries),TMN,1985,12820700.82,6857146.832,0,0,1428,696,0,0,0,0,10884,0,14416
Tunisia,TUN,1988,0,0,0,0,118,20,0,0,0,0,628,0,628
Turkey,TUR,2003,167000000,0,1.932463938,763179631,348,489,0.48288,494.39813,13353.6,46.80585,7521,30508,38029
Upper middle income,UMC,1996,2672674086,582611079.7,15.17472853,0,54172,39177,0,710.549038,0,0,174295,314310,494854
Uruguay,URY,1970,0,0,0,0,270,219,0,0,0,0,1552,3075,4627
Samoa,WSM,2007,37539.27642,0,0.072531619,58305,11,0,0,0,4.1,0,130,29,159
Zimbabwe,ZWE,2012,9305786.893,1981661.517,5.945303983,20183805,0,0,0,89.60912,197.7,9.67356,1451,426,1877
Samoa,WSM,1973,0,0,0,0,0,0,0,0,0,0,1050,2,1052
Arab World,ARB,1967,0,0,0,0,2465,180,0,0,0,0,5457,2048,7505
American Samoa,ASM,2002,0,0,0,0,0,0,0,85.13681,0,0,0,0,0
Bulgaria,BGR,1976,0,0,0,0,617,2371,0,0,0,0,550,31,581
Central African Republic,CAF,1978,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Europe and the Baltics,CEB,2006,3720428348,738374957.3,10.43017131,37728115960,1467,5585,0.752368728,1614.04857,52145.5,466.4691804,58091,57989,116080
China,CHN,2016,23979580208,1161195655,25.236142,4.96E+11,133522,1204981,0,0,426165.3,0,0,0,0
Cameroon,CMR,1977,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,COM,2000,0,0,0.498572589,3051,0,0,0,0,0,0,0,0,0
Cuba,CUB,1977,0,0,0,0,51,152,0,0,0,0,357,27,384
Cuba,CUB,1996,0,0,0,0,40,83,0.34736,0,0,0,3142,674,3816
Algeria,DZA,1970,0,0,0,0,365,18,0,0,0,0,839,323,1162
East Asia & Pacific,EAS,2002,26267078289,12187032437,30.8524354,0,182559,488029,2.274163032,980.7018361,0,0,173317,619543,792860
"Egypt, Arab Rep.",EGY,2012,344700000,0,0.583528355,74587997,1528,683,0.51349,521.73978,8514.4,269.52786,7274,10773,18047
Euro area,EMU,2009,1.00E+11,58767298838,14.94779939,3.91E+11,15559,84889,1.986304854,3254.840753,374452.4,1401.651527,59389,272294,332552
Estonia,EST,1998,6954200.261,1157940.368,11.69820107,256959726,443,20,0.57074,2117.48109,0,538.96933,2496,637,3133
Ethiopia,ETH,2001,101146.5583,0,0.132911955,71131,15,0,0,0,0,0,305,283,588
Fiji,FJI,1994,0,0,0.950362753,1399589,0,0,0,0,0,0,0,0,0
United Kingdom,GBR,2013,9873867731,17300417902,21.86453817,69223896551,7966,14972,1.65949,4185.68935,103051,1207.31624,7837,42167,50004
Ghana,GHA,1972,0,0,0,0,61,0,0,0,0,0,489,73,562
Guatemala,GTM,1984,200000,0,0,0,115,0,0,0,0,0,0,0,0
"Hong Kong SAR, China",HKG,1984,0,0,0,0,810,20,0,0,0,0,3944,2465,6409
Honduras,HND,2004,19444940,0,1.476549663,4090081,0,0,0.04143,0,14.3,0,4216,1641,5857
IBRD only,IBD,1997,5476703489,748980645.9,15.01408435,1.05E+11,102543,47784,0,0,0,0,0,0,750433
Ireland,IRL,2011,40824326471,5003354615,21.19138056,23751602369,67,494,1.54098,3281.74051,7433.1,783.52119,1952,1487,3439
Japan,JPN,1984,0,0,0,0,26119,256195,0,0,0,0,15148,146734,161882
Kyrgyz Republic,KGZ,1997,0,0,0,0,55,152,0.1939,0,0,0,2490,128,2618
Latin America & Caribbean (excluding high income),LAC,1990,513490752.5,190550000,6.719153575,0,11203,3449,0,0,0,0,42192,112621,157053
Libya,LBY,2007,0,0,0,0,0,0,0,0,109.9,0,0,0,0
Latin America & Caribbean,LCN,1966,0,0,0,0,15145,4050,0,0,0,0,0,0,73835
Lower middle income,LMC,2002,1093116366,119132240.1,14.87620652,33550697295,18515,7066,0,0,0,0,76308,158157,234465
Lithuania,LTU,2011,34281955.16,704861.5283,10.21171712,1520145996,15,93,0.90425,2732.37124,2456.6,464.40541,2128,1980,4108
Madagascar,MDG,1997,11064871.98,840718.1265,0.858761822,664396,36,9,0.22033,0,0,0,322,151,473
Maldives,MDV,1978,0,0,0,0,0,0,0,0,0,0,0,0,0
Middle East & North Africa,MEA,1971,4000000,0,0,0,4756,656,0,0,0,0,9105,4910,14015
Middle income,MIC,1966,26599989.37,2799998.881,0,0,0,0,0,0,0,0,0,0,0
Middle East & North Africa (excluding high income),MNA,2016,522026722.8,66468868.9,0,0,4185,16464,0,0,71179.32223,0,35972,81955,125467
Nigeria,NGA,2007,172689266.9,0,0.995504698,12042734,0,0,0.21939,38.57563,2297.2,12.51015,0,0,0
Nicaragua,NIC,2008,800000,0,0.873253087,7573723,0,0,0,0,32.7,0,0,0,0
Netherlands,NLD,2006,26980556449,20484481085,28.99001578,69510358120,548,2168,1.75734,3240.63531,24460.6,1329.97136,0,0,0
Netherlands,NLD,1975,280750666.7,184098159.8,0,0,13301,1966,0,0,0,0,0,0,0
New Zealand,NZL,2006,501079242.8,133238109.7,10.32368543,590444494,5212,2153,0,0,5607.4,0,9075,9751,18826
Oman,OMN,1978,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific island small states,PSS,1985,0,2168455.09,0,0,27,0,0,0,0,0,681,0,813
El Salvador,SLV,2006,27300000,500000,4.448500693,128013169,0,0,0,0,18.2,0,0,0,0
South Sudan,SSD,2008,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub-Saharan Africa,SSF,1994,238678341.7,80492574.92,0,0,0,0,0,0,0,0,0,0,0
Small states,SST,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
Small states,SST,1981,21290512.57,447332.4097,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,STP,1997,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic,SYR,1971,0,0,0,0,121,5,0,0,0,0,458,176,634
Turkey,TUR,1961,0,0,0,0,0,0,0,0,0,0,254,200,454
Turkey,TUR,1978,0,0,0,0,429,89,0,0,0,0,1711,1460,3171
Uganda,UGA,2010,2810259.476,4158668.243,2.370904438,6238424,0,0,0.47505,38.09117,400.9,13.51155,0,0,2053
Upper middle income,UMC,1991,916072687.8,299494140.6,0,0,26619,14744,0,0,0,0,77955,199462,279986
Uzbekistan,UZB,2009,0,0,0,0,174,238,0.20305,588.22649,336.3,0,2665,1431,4096
Zimbabwe,ZWE,1961,0,0,0,0,0,0,0,0,0,0,1233,524,1757
Mozambique,MOZ,1995,0,0,3.83632821,886000,0,0,0,0,0,0,0,0,0
Malawi,MWI,2010,429552.4908,0,1.290919694,1231423,0,0,0,49.56728,142.3,59.07315,1834,205,2039
Burundi,BDI,1969,0,0,0,0,11,1,0,0,0,0,145,0,145
Bosnia and Herzegovina,BIH,2012,9082194.357,13158734.52,2.463272621,77945331,14,2,0.26563,150.79332,572.9,37.35223,3583,224,3807
Bolivia,BOL,2012,42441212.07,15205383.63,9.223904918,52913604,0,0,0,0,86.8,0,4324,2642,6966
Barbados,BRB,2014,0,0,16.44328381,24928712,38,1,0,0,40.7,0,1337,246,1583
Dominican Republic,DOM,2006,31500000,0,5.655149206,289148358,0,0,0,0,16.9,0,0,0,6247
Dominican Republic,DOM,2008,50700000,0,3.738961726,171267326,0,0,0,0,18.2,0,0,0,6983
Early-demographic dividend,EAR,1970,49199981.54,4199998.322,0,0,31359,7554,0,0,0,0,42007,55982,97989
Early-demographic dividend,EAR,1961,7599997.762,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,ECU,1978,12200000,0,0,0,171,34,0,0,0,0,1214,726,1940
Estonia,EST,1996,2909349.75,1349056.724,8.848114633,125367192,198,12,0,0,0,0,2146,513,2659
Ethiopia,ETH,1989,0,0,0,0,0,0,0,0,0,0,378,128,506
Fragile and conflict affected situations,FCS,1996,2740402.242,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,FJI,1979,0,0,0,0,29,1,0,0,0,0,395,109,504
France,FRA,1967,0,0,0,0,31994,17347,0,0,0,0,3040,17524,20564
Ghana,GHA,1981,3700000,0,0,0,19,0,0,0,0,0,419,36,455
"Gambia, The",GMB,1972,0,0,0,0,12,0,0,0,0,0,144,1,145
Guinea-Bissau,GNB,2009,0,0,0,0,0,0,0,0,8.3,0,0,0,0
Guinea-Bissau,GNB,2016,0,78950,0,0,0,0,0,0,11.5,0,0,0,0
Guinea-Bissau,GNB,1984,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,GRD,1998,603703.7037,0,36.0853363,5929720,0,0,0,0,0,0,0,0,0
Guam,GUM,2005,0,0,0,0,0,0,0,303.02839,0,0,0,0,0
Ireland,IRL,2006,22032958704,925317847.7,34.52714006,31829122545,97,838,1.19832,2834.69129,4857.3,691.20636,3669,1725,5394
"Iran, Islamic Rep.",IRN,2004,0,0,1.864535365,70762119,356,2426,0.52274,0,5017.1,0,3042,17608,20650
Iceland,ISL,2006,0,0,46.88047286,308466717,326,45,2.91379,7975.61875,361.6,2167.55792,3570,614,4184
Israel,ISR,2011,1068300000,1099500000,13.9800325,8825592000,5526,1360,4.01776,7296.25321,11414.9,1298.10478,5756,2514,8270
Kiribati,KIR,2015,0,0,0,0,0,0,0,0,1.4,0,0,0,0
"Korea, Rep.",KOR,1987,580300000,10300000,0,0,12186,4871,0,0,0,0,8587,22175,30762
St. Lucia,LCA,2004,2381111.111,0,7.319472917,817725,0,0,0,0,0.6,0,0,0,0
St. Lucia,LCA,2013,3940647.407,0,7.915283173,2677940,0,0,0,0,2.7,0,363,27,390
Latin America & Caribbean,LCN,2014,12577030413,827133505.2,11.38475889,0,54179,7398,0.766638444,0,95529.58488,0,155232,346826,509299
Latin America & Caribbean,LCN,1968,8000000,8000000,0,0,22419,6722,0,0,0,0,0,78072,94795
Sri Lanka,LKA,1984,0,0,0,0,78,16,0,0,0,0,572,948,1520
Late-demographic dividend,LTE,1993,716945466.5,86585102.22,0,0,28127,53321,0,0,0,0,151807,253603,412087
Madagascar,MDG,2005,12601449.05,2854991.016,0.782423602,2738562,35,7,0.17541,48.05801,56.2,10.66133,419,439,858
Middle income,MIC,1989,870396397.2,97599695.96,0,0,31432,21545,0,0,0,0,96635,229467,326200
Mauritania,MRT,2010,0,0,0,0,0,0,0,0,6.6,0,0,0,0
Mauritius,MUS,2004,4265314.468,145720.4317,4.513230758,61587899,0,0,0.37845,0,55.7,0,0,0,0
Namibia,NAM,2007,1928214.245,0,5.186931192,81971007,0,0,0,0,38.3,0,982,0,982
Niger,NER,2012,0,0,7.660071833,2753425,0,0,0,0,32,0,0,0,0
Norway,NOR,2002,328603757.9,170902271.5,20.63671785,2640338065,5109,1178,1.63077,0,0,0,9093,2972,12065
Nepal,NPL,2005,0,0,0,0,0,0,0,0,285.1,0,419,585,1004
Nauru,NRU,2014,0,0,0,0,0,0,0,0,0.4,0,0,0,0
Pakistan,PAK,1966,0,0,0,0,1323,108,0,0,0,0,980,1305,2285
Palau,PLW,2006,0,0,0,0,0,0,0,0,3.3,0,0,0,0
Papua New Guinea,PNG,1992,0,0,0,0,0,0,0,0,0,0,313,54,367
Poland,POL,1965,0,0,0,0,1011,4117,0,0,0,0,394,329,723
Pre-demographic dividend,PRE,1979,1692358.025,94019.58164,0,0,0,0,0,0,0,0,0,0,0
Pre-demographic dividend,PRE,1988,2455410.37,1141521.011,0,0,0,0,0,0,0,0,0,0,0
Portugal,PRT,2002,313866261.7,22792222.65,7.204362889,1601168874,49,130,0.71958,1832.03114,0,292.54524,7404,6930,14334
South Asia,SAS,1997,177552646,16732624.24,4.891109654,0,9590,2080,0.607163613,0,0,0,0,0,60947
Senegal,SEN,2013,1200307.576,1801473.428,1.147592517,8988322,0,0,0,0,299,0,0,0,0
Senegal,SEN,2015,0,0,3.617890641,27132070,0,0,0,0,371.2,0,0,0,0
Sub-Saharan Africa,SSF,2012,2695929808,268745105.7,4.359543469,3273346633,0,0,0,0,19014.97814,0,0,0,0
Sub-Saharan Africa,SSF,1978,181530666.1,11022556.64,0,0,0,0,0,0,0,0,0,0,0
Seychelles,SYC,1989,354347.4001,0,0,0,0,0,0,0,0,0,118,7,125
Chad,TCD,2011,0,0,0,0,0,0,0,0,8.4,0,0,0,0
Thailand,THA,1972,0,0,0,0,0,0,0,0,0,0,2002,2066,4068
Tonga,TON,1988,0,0,0,0,0,0,0,0,0,0,0,0,0
South Asia (IDA & IBRD),TSA,2008,1670064215,192950052.5,6.002368053,0,32304,6856,0.834342375,0,54780.4,0,22641,138926,161567
United States,USA,2012,38660000000,1.24E+11,17.77688509,1.48E+11,274033,268782,2.69803,4015.88708,432311.5,0,51365,261959,313324
St. Vincent and the Grenadines,VCT,1995,422222.2222,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,ZAF,1993,124008809,50402694.41,4.727845505,443800372,4282,904,0,0,0,0,6678,7501,14179
Zambia,ZMB,2016,2138070.836,0,0,0,0,0,0,0,179.3,0,996,0,996
Zimbabwe,ZWE,1996,0,0,2.107843778,13047094,122,28,0,0,0,0,1779,411,2190
Niger,NER,2016,0,6171.921708,1.937384473,1624974,0,0,0,0,56.1,0,0,0,0
